"datetime","pm25","hour","month","weekday","date","extreme_event"
2024-03-10,39,0,3,"Sun",2024-03-10,"Extreme"
2024-03-10 02:00:00,39,2,3,"Sun",2024-03-10,"Extreme"
2024-03-10 05:00:00,39,5,3,"Sun",2024-03-10,"Extreme"
2024-03-09 22:00:00,38,22,3,"Sat",2024-03-09,"Extreme"
2024-03-09 23:00:00,38,23,3,"Sat",2024-03-09,"Extreme"
2024-03-10 06:00:00,38,6,3,"Sun",2024-03-10,"Extreme"
2024-03-09 20:00:00,37,20,3,"Sat",2024-03-09,"Extreme"
2024-03-09 21:00:00,37,21,3,"Sat",2024-03-09,"Extreme"
2024-03-10 08:00:00,37,8,3,"Sun",2024-03-10,"Extreme"
2024-03-10 09:00:00,36,9,3,"Sun",2024-03-10,"Extreme"
2024-03-09 14:00:00,35,14,3,"Sat",2024-03-09,"Extreme"
2024-03-09 16:00:00,35,16,3,"Sat",2024-03-09,"Extreme"
2024-03-10 15:00:00,35,15,3,"Sun",2024-03-10,"Extreme"
2024-03-10 19:00:00,35,19,3,"Sun",2024-03-10,"Extreme"
2024-03-10 20:00:00,35,20,3,"Sun",2024-03-10,"Extreme"
2024-03-09 11:00:00,34,11,3,"Sat",2024-03-09,"Extreme"
2024-03-10 16:00:00,34,16,3,"Sun",2024-03-10,"Extreme"
2024-03-10 18:00:00,34,18,3,"Sun",2024-03-10,"Extreme"
2024-03-10 21:00:00,34,21,3,"Sun",2024-03-10,"Extreme"
2024-03-09 09:00:00,33,9,3,"Sat",2024-03-09,"Extreme"
2024-03-10 23:00:00,33,23,3,"Sun",2024-03-10,"Extreme"
2024-03-09 07:00:00,32,7,3,"Sat",2024-03-09,"Extreme"
2024-03-09 08:00:00,32,8,3,"Sat",2024-03-09,"Extreme"
2024-03-11 02:00:00,32,2,3,"Mon",2024-03-11,"Extreme"
2024-03-11 03:00:00,32,3,3,"Mon",2024-03-11,"Extreme"
2024-03-11 04:00:00,32,4,3,"Mon",2024-03-11,"Extreme"
2024-03-11 05:00:00,32,5,3,"Mon",2024-03-11,"Extreme"
2024-03-11 08:00:00,32,8,3,"Mon",2024-03-11,"Extreme"
2024-03-11 09:00:00,32,9,3,"Mon",2024-03-11,"Extreme"
2024-03-11 10:00:00,32,10,3,"Mon",2024-03-11,"Extreme"
2024-03-11 11:00:00,32,11,3,"Mon",2024-03-11,"Extreme"
2024-03-11 12:00:00,32,12,3,"Mon",2024-03-11,"Extreme"
2024-03-09 06:00:00,31,6,3,"Sat",2024-03-09,"Extreme"
2024-03-11 13:00:00,31,13,3,"Mon",2024-03-11,"Extreme"
2024-03-11 14:00:00,31,14,3,"Mon",2024-03-11,"Extreme"
2024-03-09 04:00:00,30,4,3,"Sat",2024-03-09,"Extreme"
2024-03-11 16:00:00,30,16,3,"Mon",2024-03-11,"Extreme"
2024-03-11 17:00:00,30,17,3,"Mon",2024-03-11,"Extreme"
2024-03-09 02:00:00,29,2,3,"Sat",2024-03-09,"Extreme"
2024-03-09 03:00:00,29,3,3,"Sat",2024-03-09,"Extreme"
2024-03-11 18:00:00,29,18,3,"Mon",2024-03-11,"Extreme"
2024-03-07 07:00:00,28,7,3,"Thu",2024-03-07,"Extreme"
2024-03-07 08:00:00,28,8,3,"Thu",2024-03-07,"Extreme"
2024-03-07 17:00:00,28,17,3,"Thu",2024-03-07,"Extreme"
2024-03-07 18:00:00,28,18,3,"Thu",2024-03-07,"Extreme"
2024-03-07 19:00:00,28,19,3,"Thu",2024-03-07,"Extreme"
2024-03-09,28,0,3,"Sat",2024-03-09,"Extreme"
2024-03-11 19:00:00,28,19,3,"Mon",2024-03-11,"Extreme"
2024-09-07 01:00:00,28,1,9,"Sat",2024-09-07,"Extreme"
2024-09-07 02:00:00,28,2,9,"Sat",2024-09-07,"Extreme"
2024-09-07 03:00:00,28,3,9,"Sat",2024-09-07,"Extreme"
2024-09-07 04:00:00,28,4,9,"Sat",2024-09-07,"Extreme"
